ClauseLikeUnit(CLU)-value,Duration,Question,Eye&Brow-value,Head-value,MouthGestF-value,MouthGestF-question,Mouthing-value,Mouthing-question,Q-manual-value,Q-nonmanual-value,Q-position-value,Q-semantic-value,Q-social action-value,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,CA-value,RH-IDgloss-value,LH-IDgloss-value,LitTransl-value,FreeTransl-value,Comments-value
LN04F41WHC_CLU#156,530,Initiating-NR,up,Nod1,NA,NA,you,NA,Single,Present,other,Polar,OIR-restricted,Single,NA,NA,NA,,PT:PRO2SG,(did) you?,Did you?,
LN04F41WHC_CLU#159,1468,Initiating,"null, up",Null,NA,NA,"international, day, right",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"INTERNATIONAL, DAY, RIGHT","INTERNATIONAL, DAY",(it was) International Day right?,"International Day, that's right.",
LN04F41WHC_CLU#160,955,Initiating-NR,up,"Nod1, Null",NA,NA,"y(ou) know, why",Single,Single,Present,reprise (clause-final),Content,request information,Single,NA,NA,NA,"KNOW, WHY",,(you) know why? hey (you) know why?,Do you know why?,
LN04F41WHC_CLU#160,1360,Continuing,up,"Null, Nod1, Null",NA,NA,"hey, y(ou) know, why",Single,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,Single,NA,NA,NA,"G:HEY, KNOW, WHY",,(you) know why? hey (you) know why?,Do you know why?,
LN04F41WHC_CLU#178,390,Continuing,null,HS,NA,NA,why,Single,Single,Present,other,Content,outloud,Embed,contained,NA,CD:HEARING-FRIEND,WHY,,why?,"He'd defend himself, ""I'm only trying to make it easier for them.""",
BM05M52WHC_CLU#002,4680,Continuing,down,"Sideward, Nod",NA,NA,"been, see, la(st) we(ek), wednesday",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, BEEN, LOOK, PT:PRO3SG, PT:LOC, LAST-WEEK, WEDNESDAY","BEEN, FBUOY, WEDNESDAY","you been see it-something last-week Wednesday TV, typical-of BBC1 typical-of",Did you see that television programme last Wednesday?,"TJ: alternatively, one CLU with 'it-someting' discontinuous determiner of 'STORY SADDAM' (i.e., 'this story about Saddam' or 'this Saddam story')"
BM05M52WHC_CLU#002,1190,Continuing,squint,Null,NA,NA,television,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,TELEVISION,TELEVISION,"you been see it-something last-week Wednesday TV, typical-of BBC1 typical-of",Did you see that television programme last Wednesday?,"TJ: alternatively, one CLU with 'it-someting' discontinuous determiner of 'STORY SADDAM' (i.e., 'this story about Saddam' or 'this Saddam story')"
BM05M52WHC_CLU#009,3400,Continuing-NR,up,Null,NA,NA,"can, i, player",NA,Absent,Present,NA,Other,suggestion/offer/request,Single,NA,NA,NA,"PT:PRO2SG, CAN, COMPUTER, FS:I, PLAY, COMPUTER","COMPUTER, FS:I, PLAY, COMPUTER",you can type-computer iPlayer computer online,"You can type into the computer ""iPlay"" when it is online.","TJ: She doesn't really understand what to type so asks ""type(on computer) internet""? (Could this be an information question (type what?) without a WH sign?) because he replies with what to type ""I-P-L-A-Y"", NF: COMPUTER-MOUSE?, NF: FS p false start?"
BM05M52WHC_CLU#009,2620,Continuing,squint,Null,NA,NA,NA,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,INTERNET,INTERNET,you can type-computer iPlayer computer online,"You can type into the computer ""iPlay"" when it is online.",
BM05M52WHC_CLU#010,3070,Continuing,null,Null,NA,NA,i play(er),NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,FS:IPLAYER(IPLAY),FS:IPLAYER(IPLAY),(it is called) iPlayer,"You type ""I-P-L-A-Y""",
BM05M52WHC_CLU#011,1067,Continuing,squint,Null,NA,NA,know,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"KNOW, PT:PRO2SG",FBUOY,know you?,Do you know what it is?,
BM05M52WHC_CLU#021,710,Continuing-NR,squint,Backward,PRESSED-LIPS,YES,NA,NA,Single,Present,post-predicate (non-reprise & clause-final),Content,outloud,Single,NA,NA,CAT:SIGNER,"PT:PRO1SG, WHAT",,"me ""what""",I wondered what it was about so watched it.,"TJ: I (SAID/THOUGHT) ""WHAT? (is that about), i.e., verbless utterance type, but ""WHATED"" analysis also acceptable."
BM05M52WHC_CLU#029,895,Continuing-NR,null,HS1,NA,NA,first,NA,Single,Present,post-predicate (non-reprise),Other,rhetorical,Single,NA,NA,NA,"FIRST, WHAT",FIRST,first (episode) what?,What the first episode was about is how it all started with his determination to become president and his strategy of pushing opponents aside and eliminating them.,
BM05M52WHC_CLU#030,790,Continuing-NR,down,Sideward,NA,NA,"how, how-prog",Single,Single,Present,pre-predicate,Content,outloud,Single?,NA,NA,CA:SADDAM-HUSSEIN,"HOW, START02","HOW, START02",well it (program) well way/manner/how start/began (Saddam's rise to power),What the first episode was about is how it all started with his determination to become president and his strategy of pushing opponents aside and eliminating them.,TJ: Not happy about my own analysis. ALT two CLUs: [[IT (ABOUT)] WAY/HOW START] 2. IT-THE-MOVIE [PRE-CONTAINED] HOW START [CONTAINED]
BM05M52WHC_CLU#033,600,Continuing,squint,HS,NA,NA,how out,Single,Single,Present,other,Content,outloud,Single,NA,NA,NA,HOW,HOW,how (do it / start it)?,Just how did he do it?,
"BM05M52WHC_CLU#039, BM05M52WHC_CLU#040",2230,Continuing-NR,down,Sideward,NA,NA,how,Single,Single,Present,pre-predicate,Content,outloud,"Single, Single",NA,NA,"CAD:SADDAM-HUSSEIN, CA:SADDAM-HUSSEIN","HOW, G:WELL","HOW, G:WELL","how (can i do this)?, ""(i) ponder-strategise-carefully""","He really wanted to replace the president, but he didn't know how.",TJ: Three seperate CLUs as sequential events
BM05M52WHC_CLU#051,830,Continuing-NR,squint,Sideward,NA,NA,how,Single,Single,Present,pre-predicate,Content,outloud,Single,NA,NA,CA:SADDAM-HUSSEIN,"HOW, STRONG","HOW, STRONG",(he) want power how-to-get power he-deliberated-thought-hard,So he thought about how he could get the power he wanted.,
BM05M52WHC_CLU#056,2150,Continuing-NR,down,Null,NA,NA,"what, for",Single,Multiple,Present,reprise (non-clause-final),Content,request information,Single,NA,NA,CA:SADDAM-HUSSEIN-FAMILY-AND-FRIENDS,"G:CA:WHAT-IS-GOING-ON, WHAT, PT:PRO3SG/PT:LOC, WHAT, PT:PRO3SG/PT:LOC, INDECIPHERABLE","G:CA:WHAT-IS-GOING-ON, INDECIPHERABLE",family (and) friends suspicious-standing what that what-going on?,His family and friends were suspicious about why he was there.,
BM05M52WHC_CLU#059,2310,Continuing-NR,down,Null,NA,NA,NA,NA,Single,Present,other,Content,outloud,Single,NA,NA,CA:SADDAM-HUSSEIN,"PT:PRO1SG, G:WELL, PT:PRO1SG, SO-WHAT","PT:PRO1SG, G:WELL, PT:PRO1SG, SO-WHAT","me well me ""so-what""",He said he wasn't bothered and went off with him.,
"BM05M52WHC_CLU#066, BM05M52WHC_CLU#067",2120,Continuing-NR,down,Null,NA,NA,"pres(ident), talk",NA,Single,Present,other,Content,request information,Embed,"pre-container, contained",NA,"CA:PREVIOUS-PRESIDENT(AHMED HASSAN AL-BAKR), CD:FORMER-IRAQ-PRESIDENT","PRESIDENT, TALK","WHAT, TALK","President (say), ""what (you) talking-about?""",The president asked what he was talking about.,GH: mixed syntax?
BM05M52WHC_CLU#069,1470,Continuing,squint,Null,PRESSED-LIPS,YES,NA,NA,Single,Present,other,Content,outloud,Single,NA,NA,CA:PREVIOUS-PRESIDENT(AHMED HASSAN AL-BAKR),"PT:, WHAT",WHAT,(President) he whatted-confused,The president was puzzled.,
BM05M52WHC_CLU#071,2830,Continuing-NR,squint,Null,NA,NA,"what for, what for what for wha(t) wha(t)",Multiple,Multiple,Present,reprise (clause-final),Content,request information,Single,NA,NA,CA:PREVIOUS-PRESIDENT(AHMED HASSAN AL-BAKR),"WHAT, DSEW(4)-MOVE, WHAT","WHAT, DSEW(4)-MOVE, WHAT",what-for all-these-people what-for,He asked what was going on.,SG: handshape changes to 5 here towards the end
BM05M52WHC_CLU#094,1070,Continuing,up,Null,PRESSED-LIPS,YES,NA,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,CD:SADDAM-HUSSEIN,GOOD,,alright? what (you) talking-about what?,Saddam nonchalantly smoked a cigar and asked what they were talking about.,"EM: was annotated as one question, but I think it's two."
BM05M52WHC_CLU#094,1670,Continuing,up,Forward,"PRESSED-LIPS, PRESSED-LIPS",YES,talk,NA,Multiple,Present,reprise (clause-final),Content,request information,Single,NA,NA,CD:SADDAM-HUSSEIN,"WHAT, TALK, WHAT","TALK, WHAT",alright? what (you) talking-about what?,Saddam nonchalantly smoked a cigar and asked what they were talking about.,"EM: was annotated as one question, but I think it's two."
BM05M52WHC_CLU#102,3136,Continuing-NR,wide,Null,PRESSED-LIPS,YES,NA,NA,Multiple,Present,reprise (clause-final),Content,OIR-open,Single,NA,NA,CA:PUBLIC-AUDIENCE,"G:CA:AUDIENCE-STARES, ATTENTION, WHAT","ATTENTION, WHAT",(audience staring astonished) looking-at-him confused-whatting,Everyone was astounded.,
BM05M52WHC_CLU#103,1470,Continuing-NR,up,Forward,PRESSED-LIPS,YES,NA,NA,Absent,Present,other,Polar,request confirmation,Single,NA,NA,CD:SADDAM-HUSSEIN,"G:WELL, PT:PRO2SG, QUIT",G:WELL,oh you quit? what-a-surprise you,Saddam acted surprised that he's quit.,JF: UG could be removed
BM05M52WHC_CLU#126,950,Continuing-NR,squint,Backward,PRESSED-LIPS,YES,NA,NA,Single,Present,other,Content,OIR-open,Single?,NA,NA,CA:SADDAM-HUSSEIN?,WHAT,,me what-going-on (what are you talking-about),He pretended everything was normal.,"GH: not sure of translation here? MB: I think it seems right. I would write 'Me what (are you talking about)', but it is the same concept anyway and yours capture the meaning better."
BM05M52WHC_CLU#133,3110,Continuing,null,Null,NA,NA,i-player,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,FS:IPLAYER,FS:IPLAYER,(it is called) i (with lower case i) iPlayer,"iPlayer, with a lower case i.",
BL09F45WHC_CLU#037,410,Continuing-NR,down,Forward+HS,NA,NA,how long,Single,Absent,Present,NA,Content,request information,Embed,contained,NA,CD:SIGNER,"PT:, LONG",LONG,that how-long?,...but I did ask the doctor who said it would take 45 minutes.,
BL09F45WHC_CLU#060,2159,Initiating,down,Sideward,NA,NA,"what, BSc",Single,Single,Present,other,Content,OIR-restricted,Single,NA,NA,NA,"WHAT, FS:BSC",,What (is) BSC?,What's B.S.C?,
BL09F45WHC_CLU#063,1765,Initiating-NR,null,Null,NA,NA,how long,Single,Absent,Present,NA,Content,request information,Single,NA,NA,NA,"WIDTH, PT:PRO3SG","WIDTH, TBUOY",how-long (is) that?,How long is that?,
BL09F45WHC_CLU#064,1761,Continuing,"null, down","Null, Sideward",NA,NA,"twenty-four, unit, how long",Single,Absent,Present,NA,Content,request information,Single,NA,NA,NA,"TWO^FOUR02, UNIT, WIDTH","TBUOY, UNIT, WIDTH","twenty-four units, how-long?","For these twenty-four units, how long does that take?","GH: Signer repeats question, with more eye&brow movement where previously there was none"
BL09F45WHC_CLU#071,4389,Initiating,"null, down","Nod, Null, Forward, Null",NA,NA,"remember, the sport",NA,Multiple,Present,reprise (clause-final),Polar,request confirmation,Single,NA,NA,NA,"SPORT02, CAMERA-FILM, PT:PRO3SG","PT:, PT:, REMEMBER04, SPORT02, CAMERA-FILM",you remember (the) sport films you?,"Do you remember the collection of cine films of sporting events, they have now disappeared as someone had disposed of them.",
BL09F45WHC_CLU#077,2285,Initiating-NR,down,"Backward, HS",PRESSED-LIPS,YES,brother,NA,Multiple,Present,reprise (clause-final),Polar,request confirmation,Single,NA,NA,NA,"BROTHER, ORAL, PT:PRO3SG","PT:, PT:POSS1SG, BROTHER, FBUOY",your brother (was not) oral-deaf (was) he (at all)?,"Your brother wasn't an oral person, was he?",
BL09F45WHC_CLU#078,1648,Continuing,down,Null,NA,NA,NA,NA,Single,Present,post-predicate (non-reprise & clause-final),Polar,request confirmation,Single,NA,NA,NA,"SIGN, PT:PRO3SG",SIGN,he sign-fluently?,Was he more of a signer?,"GH: think this is current, face expression is part of signing fluently?"
BL09F45WHC_CLU#088,1062,Initiating-NR,down,Sideward,NA,NA,how old,Single,Single,Present,other,Content,request information,Single,NA,NA,NA,,"AGE, PT:PRO2SG",how-old you (when you) open-cupboard?,How old were you when you found him in the cupboard?,
BL09F45WHC_CLU#088,585,Continuing,down,Sideward,NA,NA,NA,NA,Absent,Present,NA,Content,request information,Single,NA,NA,NA,CUPBOARD,CUPBOARD,how-old you (when you) open-cupboard?,How old were you when you found him in the cupboard?,
BL09F45WHC_CLU#089,790,Initiating,down,Sideward,PRESSED-LIPS,YES,NA,NA,Absent,Present,NA,Content,request information,SharedCecho,NA,NA,NA,,"G:WELL, AVERAGE",well approximately?,"Well, approximately?",
BL09F45WHC_CLU#129,1434,Initiating,up,Sideward,NA,NA,"th(e), interpreter, there",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"G:HEY, INTERPRETER, THERE",INTERPRETER,hey interpreter there?,Did you have an interpreter there?,
BL09F45WHC_CLU#133,907,Initiating,down,Sideward,NA,NA,after,NA,Single,Present,other,Content,request information,Single,NA,NA,NA,"NEXT, G:WELL","NEXT, G:WELL",afterwards what?,They should have seen you afterwards!,
BL09F45WHC_CLU#147,1570,Initiating-NR,down,Forward,NA,NA,"check, right",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,CHECK,"CHECK, RIGHT","(they should) check, right?",Didn't they forget to keep track on things?,
BL09F45WHC_CLU#150,5070,Initiating,down,"Backward, Null",NA,NA,"Whitefield, school",NA,Multiple,Present,reprise (clause-final),Polar,request confirmation,Single,NA,NA,NA,"PT:PRO1SG, THINK, FS:INDECIPHERABLE(WF), SCHOOL02, PT:DET","PT:, FS:INDECIPHERABLE(WF), PT:DET",you -- me remember/think you Whitefield School there/you?,"It's just come into my mind now, did you attend Whitefield school?",
BL09F45WHC_CLU#152,1736,Initiating,up,Sideward,NA,NA,friends,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PARTNER, AREA, GOOD","PARTNER, GOOD",friends all-there good?,Did you have any friends there?,
BL09F45WHC_CLU#154,1014,Initiating,up,Forward,NA,NA,really,NA,Absent,Present,NA,Other,OIR-news receipt,Single,NA,NA,NA,,TRUE,really?!,Really?!,
BL09F45WHC_CLU#168,2526,Initiating,"down, up","Null, Nod",NA,NA,"now, Fairfields, my, daughter",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"NOW, SN:INDECIPHERABLE(FS:INDECIPHERABLE(F)), PT:POSS1SG, DAUGHTER","NOW, SN:INDECIPHERABLE(FS:INDECIPHERABLE(F)), DAUGHTER","now Fairfields, my daughter (you know?)",My deaf daughter now attends Fairfields school.,
BM09M68WHNC_CLU#005,1480,Initiating,wide,Nod,NA,NA,carry on,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, CONTINUE, PT:PRO2SG","CONTINUE, FBUOY",you carry-on (working) you?,Have you carried on working or have you retired?,
BM09M68WHNC_CLU#006,750,Continuing,wide,Nod,NA,NA,re(tire),NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,RETIRE,RETIRE,(you) retire?,Have you carried on working or have you retired?,"AS I feel that this is 2 CLUs, but Ihave annotated as if 1. GH agree two CLUs"
BM09M68WHNC_CLU#007,870,Continuing,wide,Nod,NA,NA,"work, carry on",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"WORK, CONTINUE, PT:PRO2SG","WORK, CONTINUE",work carry-on you?,Have you carried on working or have you retired?,
BM09M68WHNC_CLU#046,3190,Continuing,wide,Not clear,NA,NA,mean,NA,Absent,Present,NA,Content,outloud,Single,NA,NA,NA,"MEANING(FALSE-START), RELATIONSHIP, G:WELL","MEANING(FALSE-START), RELATIONSHIP, G:WELL",mean our-relationship well...(how can it develop/where is it going/what is happening?),That's a shame - what's it doing to our relationship?,
BM09M68WHNC_CLU#069,2120,Initiating,up,Null,NA,NA,child(ren),NA,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,Single,NA,NA,NA,"CHILD, FS:G-GRAND^CHILD(FALSE-START), HAVE, FS:G-GRAND^CHILD, FS:G-GRAND^CHILD, HOW-MANY","CHILD, FS:G-GRAND^CHILD(FALSE-START), FS:G-GRAND^CHILD, FS:G-GRAND^CHILD",(you) child-- grandchildren have grandchildren how-many?,How many grandchildren have you got?,
BM09M68WHNC_CLU#070,590,Continuing,down,Forward,NA,NA,how old,Single,Single,Present,other,Content,request confirmation,Single,NA,NA,NA,"AGE, PT:PRO3SG",,how-old (are) they?,How old are they?,
BM09M68WHNC_CLU#071,1480,Initiating,up,Null,PRESSED-LIPS,YES,fifteen,NA,Absent,Present,NA,Alternative,request confirmation,SharedCecho,NA,NA,NA,"FIFTEEN03, SIXTEEN",,(they are age) fifteen (and) sixteen?,Fifteen and sixteen?,
BM09M68WHNC_CLU#073,1560,Initiating,"down, up",Forward,NA,NA,"leave, schoo(l)",NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,"PAST, LEAVE, SCHOOL02, EXCITED",LEAVE,(they) recently left school wow!,They've just left school?!,
BM09M68WHNC_CLU#075,1760,Initiating,up,Null,NA,NA,"mean, go, univ(ersity)",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"MEANING, GO, UNIVERSITY",UNIVERSITY,mean (they) go university?,"Gone to university, you mean?",
BM09M68WHNC_CLU#077,1040,Initiating,down,Null,NA,NA,"pre(fer), what",Single,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,Single,NA,NA,NA,"PT:PRO33SG, FAVOUR, WHAT","FAVOUR, WHAT",they favour-prefer what?,What do they prefer?,
BM09M68WHNC_CLU#078,1790,Continuing,down,Null,NA,NA,elec(trics),NA,Single,Present,post-predicate (non-reprise),Alternative,request confirmation,Single,NA,NA,NA,"ELECTRICITY02, CARPENTER02, WHAT, TYPICAL","ELECTRICITY02, CARPENTER02",electrics carperntry what their (way)?,Electronics or carpentry?,MattB: maybe disj but question scope = list of possibilities
BM09M68WHNC_CLU#079,670,Continuing,up,Null,NA,NA,carpen(try),NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,CARPENTER02,,carpentry (yes)?,Carpentry?,
BM09M68WHNC_CLU#081,3160,Initiating,null,HS,NA,NA,"not, house, door, roof",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"DIFFERENT, HOUSE, DOOR, ROOF, NO","DIFFERENT, HOUSE, DOOR, ROOF",not different (things like) house door roof no?,Different doors and roofs for houses.,
BM09M68WHNC_CLU#106,1842,Continuing,wide,HS,NA,NA,appren(tice),NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"APPRENTICE, NOTHING, PT:PRO2SG, NOTHING, PT:PRO2SG","APPRENTICE, NOTHING",(you not) apprentice nothing you nothing you?,"It's the same for bricklaying, you didn't have an apprenticeship, did you?",
BM09M68WHNC_CLU#109,950,Continuing,up,Nod,NA,NA,right,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, RIGHT, G:WELL",,you (did that too) right?,Didn't you?,
BM09M68WHNC_CLU#117,3760,Initiating,down,Null,NA,NA,"mean, young, work, by, who, who-prog",Single,Single,Present,post-predicate (non-reprise & clause-final),Content,request confirmation,Single?,NA,NA,CA:SIGNER?,"MEANING, PT:PRO2SG, YOUNG, HOT02, GO-TO, CLUB, WORK, BY, WHO02, WHO","MEANING, PT:PRO2SG, YOUNG, CLUB, WORK, BY, WHO",mean (when) you young hot-for-life go-to club work by who?,"When we were young and wanted a job, who did the work?",
BM09M68WHNC_CLU#119,870,Continuing,squint,Sideward,NA,NA,"help, what",Single,Single,Present,post-predicate (non-reprise),Content,request information,Single,NA,NA,NA,"HELP, WHO, MISSIONER(FALSE-START)",HELP,help-you who miss--?,"The missioners helped us, didn't they?",
BM09M68WHNC_CLU#120,710,Continuing-NR,null,Null,NA,NA,mission(er),NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,MISSIONER,MISSIONER,hey no -- missioners? missioners? you--,"The missioners helped us, didn't they?","GH: TJ analysed as Q+A pair, not shared CLU"
BM09M68WHNC_CLU#120,910,Continuing,wide,Null,NA,NA,mission(er),NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,MISSIONER,MISSIONER,hey no -- missioners? missioners? you--,"The missioners helped us, didn't they?","GH: TJ analysed as Q+A pair, not shared CLU"
MC09M68WHC_CLU#003,1387,Continuing-NR,null,Null,NA,NA,you been,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"BEEN, PT:LOC",BEEN,(have) you been?,Have you been before?,
MC09M68WHC_CLU#005,1113,Initiating-NR,down,"HS , Forward",NA,NA,"what, for, what",Multiple,Single,Present,pre-predicate,Content,OIR-open,Single,NA,NA,NA,"WHAT, FS:FOR, WHAT",FS:FOR,what for? what train or?,What for?,
MC09M68WHC_CLU#010,2823,Continuing,up,Null,NA,NA,"football, football-prog, ground, football, football-prog",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"FOOTBALL02, PT:DET, STADIUM, FOOTBALL02, PT:LOC/DSS(1)","FOOTBALL02, STADIUM, FOOTBALL02, PT:LOC","(the) football grounds, football (grounds) along-there?","Er, the football grounds?","HP: Arg annotation added to identify doubling, JF: COULD THIS BE FOOTBALL?, AW: I thought so to. At next instatiation I've put ATSB."
MC09M68WHC_CLU#015,1192,Continuing-NR,"null, up","Nod, Null",NA,NA,"UNSURE, before",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:, PT:, BEEN, PT:LOC/PT:PRO2SG, PAST",,you been there before? you been before? you...me...you...,Have you been there before?,"EM: identified as one question, but it's actually two Q I think. The first one is a repair initiation that the other guy is producing with his head."
MC09M68WHC_CLU#015,1591,Continuing,up,"Forward , Nod",NA,NA,"before-prog you, been, before, before-prog",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, BEEN, PAST, PT:PRO2SG",,you been there before? you been before? you...me...you...,Have you been there before?,HP:there are 2 mouthings on this one manual sign. So I don't know how to assign a gram class
MC09M68WHC_CLU#015,1034,Continuing,null,Null,NA,NA,NA,NA,Absent,Present,NA,Other,OIR-freeze-look,Single,NA,NA,NA,PT:,,you been there before? you been before? you...me...you...,Have you been there before?,
MC09M68WHC_CLU#025,1283,Continuing-NR?,up,Forward,NA,NA,"you, want",NA,Absent,Present,NA,Other,outloud,Single,NA,NA,NA,"PT:PRO2SG, WANT, PT:PRO2SG",,you want you...,There's so much interesting history.,"HP: RH:Arg annotation added to enable identification of doubling. GH: not sure about this question token, signer was interrupted"
MC09M68WHC_CLU#109,909,Continuing,"up, down, up",Nod,NA,NA,"been, deaf, club",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"BEEN, GO-IN, ADD-TO-SIGNBANK(DEAFb), CLUB","BEEN, GO-IN, CLUB",(you) been in deaf club (in Madrid)?,"Madrid was good, but the Deaf club - have you been there?",
MC09M68WHC_CLU#110,753,Continuing,"up, down",HS,NA,NA,never,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"NEVER, PT:PRO2SG, PT:LOC/PT:PRO3SG",,you never there?,"Madrid was good, but the Deaf club - have you been there?",
"MC09M68WHC_CLU#161, MC09M68WHC_CLU#162",6073,Continuing,"down, up","Forward, HS, Null",PUFFED-CHEEKS,NO,"remember, railway, bomb",NA,Absent,Present,NA,Polar,request confirmation,Embed,"pre-container, contained",NA,"CD:DEAF-PERSON , CD:DEAF-PERSON","PT:PRO2SG, REMEMBER02, G:ERM, THREE02, FOUR02, YEAR, PAST, ADD-TO-SIGNBANK(TRAIN3b), EXPLOSION","REMEMBER02, YEAR, ADD-TO-SIGNBANK(TRAIN3b), EXPLOSION","you remember, ""three, four years ago railway bomb-explosion?""","It was time for us to go and catch the tube when someone asked if we remembered the explosion on the railway, 3 or 4 years ago.","EM: this has been identified as two question, 'you remember' '3-4 years ago...'. I think it's one question initiated with 'you remember X'. What do you think? For now, I will annotate it as one question, but if you desagree or for some other reason it's important to separate it into two questions I can change it."
"LN03F47WDC_CLU#012, LN03F47WDC_CLU#013, LN03F47WDC_CLU#014",3465,Continuing,"null , squint, null","Null, Forward, Null",NA,NA,"what, do, if, you, see, beat up",Single,Single,Present,pre-predicate,Content,outloud,EmbedDepend,"contained, contained, contained","independent, dependent, dependent","CD:NEWSPAPER, CD:NEWSPAPER, CD:NEWSPAPER","WHAT, FS:DO, IF, PT:PRO2SG, LOOK, G:ERM, BEAT-UP, ACTIVITY","WHAT, FS:DO, IF, LOOK, G:ERM, BEAT-UP, ACTIVITY","what (would you) do, if you see (someone/something), (someone) beating up (someone else)?",I read a survey which asked what people would do if they saw someone being attacked and most of the responses was to 'walk away'.,"HP:I suggest this should not be tagged as a verb in RH-Grammatical Category as we are not including FS:as verbs, MB: very relaxed and fast, hard to classify, RA: Left hand Sign is weak here."
LN03F47WDC_CLU#043,434,Continuing?,up,Null,NA,NA,wh(at),Single,Single,Present,other,Content,rhetorical,Single,NA,NA,NA,WHAT,WHAT,what (he do? watch me),I wasn't sure whether to leave or to stay and felt bad so I decided to press the door release button and opened the door as he walked in.,"EM: I think she's not signing 'WHAT' here, but me (PRO1)). I think it's not a question. GH: It's either ""what"" or ""wait"""
LN03F47WDC_CLU#060,895,Continuing,not visible,Not visible,NA,NA,I,NA,Single,Present,post-predicate (non-reprise),Content,rhetorical,Embed,pre-container,NA,CD:BLIND-MAN,"PT:PRO1SG, HEAR, WHAT",,"(he say) ""I heard what""",He could hear my heavy breathing against the wall but could not find me in the room.,
LN03F47WDC_CLU#086,875,Continuing-NR,down+squint,"Nod1, Null",NA,NA,"you been, running",NA,Absent,Present,NA,Polar,outloud,Single,NA,NA,CD:HEARING-PEOPLE,"PT:PRO2SG, RUN",RUN,"(they say) ""you (been) running?""",I've often approached hearing people who ask me if I had been running just then!,
LN03F47WDC_CLU#092,3120,Initiating,"down, null","Down+HS, Null",NA,NA,"you, smoke",NA,Single,Present,post-predicate (non-reprise & clause-final),Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, SMOKE-CIGARETTE, G:WELL",,well you smoke don't-you!/well are you smoking?,You don't smoke do you?,
LN03F47WDC_CLU#095,1435,Initiating-NR,"null, down, null",Null,NA,NA,"something, laugh, what me think",Single,Multiple,Present,reprise (clause-final),Polar,outloud,Single,NA,NA,NA,"WHAT, G:WELL, LAUGH, WHAT","WHAT, G:WELL",what (is something can make you) laugh what?,Let me think of something to make you laugh!,
LN03F47WDC_CLU#106,3675,Continuing,"down, null","HS, Null , Nod1",NA,NA,"John, Victoria",NA,Single,Present,post-predicate (non-reprise & clause-final),Polar,request confirmation,Single,NA,NA,NA,"PT:PRO1SG, FS:J-INDECIPHERABLE, ?TWIN, FS:V-VICTORIA, G:WELL",G:WELL,(and) me -- John (and) Victoria you-know!,"You and your twin sister and my twins, John and Victoria - You've forgotten!","EM: I think it's not an OIR, but request for confirmation. It looks like a correction and it might seem an OIR, but I think it's not."
